UPC,Item Name,Brand,Domestic Vendors,Vendor Names,Min Price,Avg Price
8011003845132,"MOSCHINO TOY BOY 3.4 EDP M",Oribe,19,"BS, CBS, Classic, Cosmo, ET, Fragrance Depot, General, Haz, MTZ, Montroyal, Nandansons, Network, POTW, Paris, Perfume Price, Sanya, Spectrum, United, Yossi",29,34.60
3386460066273,"Jimmy Choo Blossom Eau de Parfum 100ml",N/A,17,"BS, CBS, Classic, ET, Fragrance Depot, French, General, Gift Express, Montroyal, NYB, Network, POTW, Paris, Perfume Plus, Perfume Price, Prestige Fragrances, United",23.75,27.40
3439600056655,"Thierry Mugler Angel W 3.4 edp spr",N/A,16,"BS, CBS, Classic, Cosmo, General, Haz, Nandansons, Network, PWW, Paris, Perfume Center, Perfume Plus, Perfume Price, Spectrum, TJS, United",48.5,57.55
8011003839308,"MOSCHINO TOY2 EDP 100ML",N/A,15,"Acme, BS, CBS, Classic, Cosmo, ET, Fragrance Depot, General, Gift Express, Network, POTW, Perfume Price, Sanya, Spectrum, United",27,32.22
8011003846627,"VERSACE Eros Flame Men EDP (200ml)",N/A,15,"BS, CBS, Classic, ET, Fragrance Depot, MTZ, Montroyal, Nandansons, Network, PWW, Perfume Center, Perfume Plus, Perfume Price, Sanya, TJS",52.75,58.75
6294015149371,"ARMAF [M] ODYSSEY MANDARIN SKY 3.4 Oz EAU DE PARFUM SPR [BLUE-ORANGE]",AMIRO,15,"Classic, ET, General, Gift Express, Haz, MTZ, Montroyal, Nandansons, Network, PWW, Perfume Plus, Perfume Price, Perfumora, Spectrum, United",18.5,21.59
8435415017206,"JPG LE BEAU 4.2 EDT M  (ONLY WITH PURCHASE OF RM)",N/A,15,"CBS, Classic, Cosmo, ET, Fragrance Depot, General, Gift Express, Haz, MTZ, Montroyal, Nandansons, PWW, Perfume Plus, Perfume Price, TJS",64,71.23
3386460126625,"COACH Open Road Men EDT (100ml)",Dolce & Gabbana,14,"BS, CBS, Classic, Cosmo, French, General, Gift Express, MTZ, Montroyal, Nandansons, POTW, Paris, Perfume Plus, Perfume Price",17.5,21.04
6291100130498,"Al Haramain Amber Oud Gold Edition Eau De Parfum 120ml",N/A,14,"BS, Classic, Fragrance Depot, Gift Express, MTZ, Montroyal, Nandansons, POTW, Paris, Perfume Plus, Perfume Price, TJS, United, Yossi",32.95,36.15
3274872396197,"GIVENCHY  ANGE OU DEMON EDP 100ML",N/A,14,"BS, CBS, Classic, General, Haz, Montroyal, Nandansons, Network, PWW, Perfume Plus, Perfume Price, TJS, United, Yossi",5.5,53.04
3386460109369,"JIMMY CHOO Urban Hero Men EDP (100ml)",N/A,14,"CBS, Classic, ET, Fragrance Depot, General, Gift Express, MTZ, Montroyal, NYB, Perfume Plus, Perfume Price, Sanya, United, Yossi",26,28.16
3386460048118,"Jimmy Choo Flash Eau de Parfum 100ml",N/A,13,"BS, CBS, Cosmo, Fragrance Depot, French, General, MTZ, Montroyal, NYB, POTW, Paris, Perfume Price, United",22.99,27.45
3439600056921,"T MUGLER Alien Refillable Wom EDP (60ml)",N/A,13,"BS, Classic, Cosmo, General, Haz, MTZ, Montroyal, Nandansons, POTW, Paris, Perfume Center, Perfume Price, TJS",37,41.04
8011003839117,"Versace Dylan Blue W 3.4 edp spr",N/A,13,"BS, CBS, Classic, Cosmo, Fragrance Depot, General, Nandansons, Paris, Perfume Center, Perfume Plus, Sanya, Spectrum, United",40.3,44.40
3351500009848,"AZZARO WANTED NIGHT 3.4OZ EDP MEN",Coach,13,"BS, CBS, ET, Fragrance Depot, General, Gift Express, Haz, Nandansons, PWW, Perfume Center, Perfume Plus, Perfume Price, QFG",50.5,56.14
8435415091251,"GAULTIER LA BELLE PARADISE GARDEN EDP SP 100 ML",EL,13,"Acme, BS, CBS, ET, General, Gift Express, Haz, MTZ, Montroyal, PWW, Perfume Center, Perfume Plus, United",75,84.18
3614272648425,"YSL LIBRE 3.0 EDP W",N/A,13,"CBS, Classic, Cosmo, Fragrance Depot, Gift Express, Haz, MTZ, Nandansons, Network, PWW, Perfume Plus, Perfume Price, TJS",83,86.97
6294015149388,"ARMAF [M] ODYSSEY MEGA 3.4 Oz EAU DE PARFUM SPR [YELLOW]",AMIRO,13,"BS, Classic, Cosmo, ET, French, Gift Express, MTZ, Montroyal, Nandansons, Perfume Price, Perfumora, United, Yossi",14.75,16.86
3386460109567,"Coach Dreams W 3.0 edp spr",N/A,13,"Acme, BS, CBS, Classic, Cosmo, Fragrance Depot, Gift Express, Montroyal, NYB, Nandansons, Perfume Price, Sanya, Spectrum",29.5,34.46
8435415076937,"JPG LE MALE ELIXIR 2.5 EDP M (ONLY WITH PURCHASE OF RM)",N/A,13,"Classic, Cosmo, ET, Fragrance Depot, Gift Express, Haz, Montroyal, Nandansons, Perfume Plus, Perfume Price, Spectrum, TJS, Yossi",59.5,67.36
6295199804360,"ARMAF "ODYSSEY DUBAI CHOCOLATE GOURMAN EDITION" EDP SPR 3.4 M (Clean)",N/A,12,"BS, Classic, Gift Express, MTZ, Nandansons, PWW, Perfume Plus, Perfume Price, Perfumora, Spectrum, United, Yossi",16.6,21.88
3386460075343,"Jimmy Choo Illicit Flower Eau de Toilette 100ml",N/A,12,"BS, Classic, Fragrance Depot, French, General, MTZ, Montroyal, PWW, Paris, Perfume Price, Sanya, United",22,25.06
608940583753,"Billie Eilish No.2 3.4 edp spr",N/A,12,"BS, Classic, Cosmo, Fragrance Depot, French, General, Gift Express, Haz, Nandansons, POTW, Perfume Plus, United",26,33.12
3386460151962,"COACH DREAMS MOONLIGHT 3.0 EDP L  (118656)",N/A,12,"BS, CBS, Classic, Cosmo, Fragrance Depot, French, Gift Express, MTZ, Montroyal, Nandansons, Perfume Price, Sanya",34,36.32
22548366448,"MK WONDERLUST(L) 3.4OZ EDP",N/A,12,"BS, CBS, Classic, ET, Fragrance Depot, General, Montroyal, PWW, Perfume Price, Prestige Fragrances, Spectrum, United",28,33.60
8057971180516,"D&G The One Men EDT (150ml)",N/A,12,"BS, CBS, Classic, General, Haz, MTZ, Nandansons, Paris, Perfume Center, Perfume Price, Spectrum, Yossi",41,45.45
8005610298924,"Hugo Boss The Scent For Her Eau de Parfum 100ml",N/A,12,"Acme, BS, CBS, Classic, French, General, Gift Express, Montroyal, Perfume Center, Perfume Price, Spectrum, United",39,42.30
8011003826490,"VERSACE Dylan Blue Men EDT (200ml)",N/A,12,"BS, CBS, Classic, ET, Fragrance Depot, MTZ, Montroyal, Network, Perfume Center, Perfume Plus, Perfume Price, Sanya",48.75,51.60
3614229829006,"MY BURBERRY BLACK PARFUM (L) 3.0 OZ EDP SPRAY",N/A,12,"BS, CBS, Classic, Cosmo, French, General, Montroyal, Nandansons, Perfume Center, Perfume Plus, Perfume Price, Prestige Fragrances",44.5,49.73
