Priority,UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
1,3423470300161,"Issey Miyake L'Eau De Issey EDT for Women | 3.3 oz / 100 ml",Issey Miyake,12,"Aairie; Acme; Cosmo; Nandansons; PWW; Network; United; BS; Haz; French; Perfume Center; Classic",27.5,29.94
2,3360373063680,"Cacharel Amor Amor EDT for Women | 3.4 oz / 100 ml",Cacharel,11,"Cosmo; Network; United; BS; CBS; Haz; French; ET; Perfume Center; Perfume Price; Luxury",21,23.89
3,8011003845132,"MOSCHINO TOY BOY 3.4 EDP M",Oribe,11,"Aairie; Cosmo; Nandansons; PWW; Network; United; BS; Classic; Haz; Perfume Center; Perfume Price",29,33.46
4,8005610328799,"Gucci Rush EDT for Women | 2.5 oz / 75 ml",Gucci,11,"Acme; Cosmo; Nandansons; PWW; BS; Classic; Haz; Perfume Center; Perfume Price; Luxury; Fragrance Depot",29,36.86
5,3360372013648,"RALPH LAUREN Safari EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,11,"Aairie; Cosmo; Nandansons; PWW; Network; United; BS; Classic; French; Perfume Center; Perfume Price",30,34.03
6,3360374533205,"Cacharel Anais Anais L'Original EDT for Women | 3.4 oz / 100 ml",Cacharel,10,"Cosmo; Network; United; CBS; Classic; French; ET; Perfume Center; Perfume Price; Luxury",19.45,22.35
7,3360373016358,"Cacharel Noa EDT for Women | 3.4 oz / 100 ml Spray",Cacharel,10,"Acme; Cosmo; Network; BS; CBS; Classic; ET; Perfume Center; Perfume Price; Luxury",20,24.41
8,88300178278,"Calvin Klein Euphoria EDT for Men | 3.4 oz / 100 ml",Calvin Klein,10,"Acme; Cosmo; Network; United; BS; CBS; Classic; ET; Perfume Center; Luxury",20.5,23.56
9,3351500016617,"Azzaro Wanted Eau De Toilette for Men | 3.4 oz / 100 ml - Spray",Azzaro,10,"Acme; Cosmo; Nandansons; PWW; United; BS; Classic; Haz; Perfume Price; Luxury",32.75,37.44
10,6294015180251,"ARMAF [M] CLUB DE NUIT OUD 3.6 Oz EAU DE PARFUM SPR [OUD]",N/A,10,"Aairie; Nandansons; United; BS; Classic; French; Haz; Perfume Price; Luxury; Fragrance Depot",35,39.41
11,3414206000608,"Joop Homme EDT for Men | 4.2 oz / 125 ml",Joop!,9,"Cosmo; CBS; BS; Haz; French; ET; MTZ; Classic; Perfume Center",10.9,15.43
12,88300601400,"Calvin Klein Eternity EDP for Women | 3.4 oz / 100 ml",Calvin Klein,9,"Cosmo; Network; United; BS; Classic; Haz; Perfume Center; PWW; Perfume Price",23.2,26.15
13,3614226905215,"Burberry London EDT for Men | 3.3 oz / 100 ml",Burberry,9,"Network; BS; Classic; Haz; French; ET; PWW; Perfume Price; Luxury",23.95,26.84
14,3423470311365,"Issey Miyake L'Eau De Issey EDT for Men | 4.2 oz / 125 ml",Issey Miyake,9,"Aairie; Cosmo; PWW; Network; United; BS; Haz; French; Perfume Center",26,28.69
15,608940583753,"Billie Eilish No.2 3.4 edp spr",N/A,9,"Cosmo; Nandansons; PWW; United; BS; Classic; French; Haz; Fragrance Depot",26,33.73
16,8011003839308,"MOSCHINO TOY2 EDP 100ML",N/A,9,"Aairie; Acme; Cosmo; PWW; Network; United; Classic; Perfume Center; Perfume Price",27,30.96
17,88300162505,"Calvin Klein Euphoria EDP for Women | 3.4 oz / 100 ml",N/A,9,"Aairie; Cosmo; Network; United; BS; Classic; Haz; Perfume Center; Perfume Price",28.25,30.32
18,3274872395503,"Givenchy Pie M 3.4 edt spr",N/A,9,"Aairie; Cosmo; PWW; United; BS; Classic; Perfume Center; Perfume Price; Luxury",31.7,36.77
19,3423222080969,"NARCISO RODRIGUEZ ALL OF ME 3.0 EDP W",N/A,9,"Aairie; Cosmo; Nandansons; PWW; BS; Classic; Haz; Perfume Price; Fragrance Depot",33.25,41.63
