UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
3423470311365,"Issey Miyake L'Eau De Issey EDT for Men | 4.2 oz / 125 ml",Issey Miyake,27,"OniEssence; Perfume Price; TJS; Source; PWW; United; NYB; Heritage; Aairie; Perfume Plus; Distributor; Perfume Center; Cosmo; Perfume Distributors; Haz; Montroyal; Nandansons; Gift Express; Acme; ET; Premier; Classic; POTW; Fragsense; General; Paris; MTZ",25.5,27.39
8005610328799,"Gucci Rush EDT for Women | 2.5 oz / 75 ml",Gucci,27,"OniEssence; Perfume Price; Source; PWW; Luxury; Heritage; TJS; Aairie; Fragrance Depot; Cosmo; Perfume Center; Nandansons; MTZ; Gift Express; ET; Premier; Sanya; French; Distributor; POTW; Perfumora; General; Classic; Paris; Haz; Spectrum; Network",30,36.89
8011003845132,"MOSCHINO TOY BOY 3.4 EDP M",Oribe,26,"OniEssence; Perfume Price; United; PWW; Mod; Heritage; Sanya; TJS; Aairie; Fragrance Depot; Cosmo; Montroyal; Nandansons; Perfume Center; ET; Premier; Gift Express; Perfume Plus; Distributor; POTW; Fragsense; Perfumora; General; Classic; Paris; MTZ",29,32.72
3414206000608,"Joop Homme EDT for Men | 4.2 oz / 125 ml",Joop!,25,"Source; Nandansons; Mod; Heritage; TJS; Perfume Center; Cosmo; NYB; MTZ; Distributor; Perfume Distributors; Haz; Montroyal; PWW; Perfume Price; BS; ET; Classic; Gift Express; French; Aairie; Paris; United; General; POTW",11,16.41
3360373063680,"Cacharel Amor Amor EDT for Women | 3.4 oz / 100 ml",Cacharel,25,"Source; United; Luxury; Mod; Heritage; Premier; Sanya; NYB; Perfume Center; Cosmo; Fun2; Haz; Montroyal; Nandansons; PWW; Perfume Price; MTZ; BS; ET; Classic; French; Network; General; POTW; Gift Express",21.25,23.11
3423470300161,"Issey Miyake L'Eau De Issey EDT for Women | 3.3 oz / 100 ml",Issey Miyake,25,"OniEssence; Perfume Price; TJS; United; PWW; Mod; Sanya; Aairie; NYB; Perfume Plus; Distributor; Cosmo; Perfume Distributors; Fun2; Montroyal; Perfume Center; Nandansons; MTZ; Gift Express; Acme; ET; Premier; French; POTW; General",27.5,29.81
88300162505,"Calvin Klein Euphoria EDP for Women | 3.4 oz / 100 ml",N/A,25,"Network; Perfume Price; TJS; United; ABDiversified; Source; Mod; NYB; Heritage; Sanya; Aairie; Distributor; Cosmo; Perfume Distributors; Haz; Nandansons; Perfume Center; MTZ; Premier; ET; POTW; Fragsense; Perfumora; Paris; Gift Express",27.99,29.33
737052351100,"Boss 6 3 Pc. Gift Set ( Eau De Toilette Spray 3.3 Oz & Deodorant Stick 2.4 Oz + Shower Gel 1.6 Oz) for Men by Hugo Boss",Hugo Boss,25,"OniEssence; Perfume Price; United; Source; Luxury; Mod; Heritage; Sanya; TJS; Aairie; Perfume Plus; Cosmo; Perfume Center; Montroyal; PWW; MTZ; Acme; Nandansons; ET; Premier; Distributor; Fragsense; General; Classic; Paris",30,34.29
8011003804566,"Gianni Versace Versace Yellow Diamond EDT for Women | 3 oz / 90 ml",Versace,25,"Perfume Price; United; Source; Heritage; Sanya; Aairie; Nandansons; Fragrance Depot; Mod; Cosmo; Perfume Center; Haz; Montroyal; Euro; Gift Express; Acme; Premier; Perfume Plus; POTW; Fap; General; Classic; Paris; Spectrum; MTZ",30,36.73
3439600056969,"Thierry Mugler Alien EDP for Women | 3 oz / 90 ml - Refillable",Thierry Mugler,25,"OniEssence; Perfume Price; Luxury; Heritage; TJS; Beauty Encounter; Nandansons; Classic; Mod; Fun2; PWW; Awesome; Acme; ET; Premier; Aairie; Distributor; POTW; Perfumora; General; MTZ; Paris; Haz; Network; Spectrum",47,55.35
88300178278,"Calvin Klein Euphoria EDT for Men | 3.4 oz / 100 ml",N/A,23,"Source; United; Luxury; Mod; Heritage; Sanya; TJS; Aairie; NYB; Perfume Plus; Cosmo; Montroyal; Nandansons; Perfume Center; Perfume Price; Acme; ET; Classic; Network; General; POTW; MTZ; Gift Express",19.85,22.36
